ID,"[[x,y,angle,distNext,distTotal]]"
162,"[[220,-66,203,10,0],[216,-57,203,10,10],[212,-48,203,10,20],[208,-39,209,11,30],[203,-30,203,10,40],[199,-21,209,11,50],[194,-12,203,10,60],[190,-3,209,11,70],[185,6,209,11,81],[180,15,206,9,91],[176,23,209,11,100],[171,32,209,11,110],[166,41,212,10,120],[161,49,209,11,130],[156,58,213,11,140],[150,67,212,10,151],[145,75,212,10,160],[140,83,213,11,170],[134,92,216,10,181],[128,100,212,10,191],[123,108,216,10,200],[117,116,221,11,210],[110,124,216,10,221],[104,132,220,10,231],[98,139,221,11,240],[91,147,225,10,251],[84,154,225,10,261],[77,161,221,11,270],[70,169,229,10,281],[63,175,225,10,290],[56,182,228,11,300],[48,189,229,10,311],[41,195,233,10,320],[33,201,228,11,330],[25,208,233,10,341],[17,214,237,10,351],[9,219,236,11,360],[0,225,233,10,371],[-8,231,237,10,381],[-16,236,240,11,390],[-25,241,240,11,401],[-34,246,237,10,411],[-42,251,240,11,420],[-51,256,240,11,431],[-60,261,237,10,441],[-68,266,237,10,450],]"
163,"[[374,-69,216,10,0],[368,-61,216,10,10],[362,-53,220,10,20],[356,-46,216,10,30],[350,-38,221,11,40],[343,-30,216,10,50],[337,-22,225,10,60],[330,-15,216,10,70],[324,-7,221,11,80],[317,1,220,10,91],[311,8,221,11,100],[304,16,225,10,111],[297,23,220,10,121],[291,30,225,10,130],[284,37,221,11,140],[277,45,228,11,150],[269,52,229,10,161],[262,58,225,10,170],[255,65,228,11,180],[247,72,225,10,191],[240,79,233,10,201],[232,85,229,10,211],[225,91,228,11,220],[217,98,233,10,231],[209,104,233,10,241],[201,110,233,10,251],[193,116,237,10,261],[185,121,236,11,270],[176,127,237,10,281],[168,132,236,11,290],[159,138,237,10,301],[151,143,240,11,310],[142,148,246,10,321],[133,152,240,11,331],[124,157,240,11,341],[115,162,246,10,351],[106,166,246,10,361],[97,170,246,10,371],[88,174,246,10,381],[79,178,246,10,391],[70,182,246,10,400],[61,186,253,11,410],[51,189,246,10,421],[42,193,253,11,431],[32,196,251,10,441],[23,199,253,11,450],[13,202,251,10,461],[4,205,253,11,470],[-6,208,253,11,481],[-16,211,257,10,491],[-25,213,253,11,501],[-35,216,258,11,511],[-45,218,257,10,521],[-54,220,253,11,530],[-64,223,253,11,541],]"
164,"[[633,-61,203,10,0],[629,-52,203,10,10],[625,-43,201,11,20],[621,-33,203,10,31],[617,-24,203,10,41],[613,-15,203,10,51],[609,-6,203,10,61],[605,3,203,10,70],[601,12,203,10,80],[597,21,209,11,90],[592,30,203,10,100],[588,39,209,11,110],[583,48,209,11,121],[578,57,203,10,131],[574,66,209,11,141],[569,75,212,10,151],[564,83,209,11,160],[559,92,209,11,171],[554,101,212,10,181],[549,109,213,11,190],[543,118,212,10,201],[538,126,216,10,211],[532,134,212,10,221],[527,142,213,11,230],[521,151,216,10,241],[515,159,220,10,251],[509,166,221,11,260],[502,174,216,10,271],[496,182,225,10,281],[489,189,221,11,291],[482,197,225,10,301],[475,204,225,10,311],[468,211,225,10,321],[461,218,229,10,331],[454,224,228,11,340],[446,231,233,10,351],[438,237,233,10,361],[430,243,237,10,371],[422,248,236,11,380],[413,254,240,11,391],[404,259,237,10,401],[396,264,246,10,411],[387,268,246,10,421],[378,272,248,11,431],[368,276,251,10,441],[359,279,253,11,451],[349,282,251,10,461],[340,285,258,11,471],[330,287,253,11,481],[320,290,264,11,491],[310,291,258,11,501],[300,293,263,10,512],[291,294,270,10,521],[281,294,264,11,531],[271,295,270,10,541],[261,295,270,10,551],[251,295,270,10,561],[241,295,276,11,571],[231,294,276,11,581],[221,293,276,11,591],[211,292,276,11,601],[201,291,276,11,611],[191,290,276,11,621],[181,289,282,11,631],[171,287,282,11,641],[161,285,282,11,651],[151,283,283,10,662],[142,281,282,11,671],[132,279,282,11,681],[122,277,287,11,691],[112,274,283,10,702],[103,272,287,11,711],[93,269,282,11,721],[83,267,289,10,731],[74,264,287,11,741],[64,261,287,11,751],[54,258,289,10,762],[45,255,287,11,771],[35,252,289,10,782],[26,249,287,11,791],[16,246,289,10,802],[7,243,287,11,811],[-3,240,289,10,822],[-12,237,292,11,831],[-22,233,289,10,842],[-31,230,287,11,851],[-41,227,294,10,862],[-50,223,289,10,872],[-59,220,287,11,881],[-69,217,287,11,892],]"
165,"[[703,-65,225,10,0],[696,-58,233,10,10],[688,-52,233,10,20],[680,-46,233,10,30],[672,-40,228,11,40],[664,-33,233,10,51],[656,-27,233,10,61],[648,-21,233,10,71],[640,-15,233,10,81],[632,-9,233,10,91],[624,-3,233,10,101],[616,3,237,10,111],[608,8,233,10,120],[600,14,236,11,130],[591,20,237,10,141],[583,25,233,10,151],[575,31,240,11,161],[566,36,237,10,171],[558,41,240,11,180],[549,46,237,10,191],[541,51,240,11,200],[532,56,240,11,210],[523,61,240,11,221],[514,66,237,10,231],[506,71,246,10,240],[497,75,240,11,250],[488,80,246,10,261],[479,84,248,11,270],[469,88,246,10,281],[460,92,246,10,291],[451,96,251,10,301],[442,99,248,11,310],[432,103,251,10,321],[423,106,253,11,331],[413,109,251,10,341],[404,112,253,11,351],[394,115,253,11,361],[384,118,257,10,372],[375,120,258,11,381],[365,122,258,11,391],[355,124,258,11,401],[345,126,264,11,411],[335,127,257,10,421],[326,129,264,11,431],[316,130,264,11,441],[306,131,270,10,451],[296,131,264,11,461],[286,132,270,10,471],[276,132,270,10,481],[266,132,270,10,491],[256,132,270,10,501],[246,132,276,11,511],[236,131,270,10,521],[226,131,276,11,531],[216,130,276,11,541],[206,129,276,11,551],[196,128,282,11,561],[186,126,276,11,571],[176,125,276,11,581],[166,124,282,11,591],[156,122,282,11,601],[146,120,276,11,612],[136,119,283,10,622],[127,117,282,11,631],[117,115,282,11,641],[107,113,282,11,651],[97,111,282,11,661],[87,109,283,10,672],[78,107,287,11,681],[68,104,282,11,691],[58,102,282,11,702],[48,100,283,10,712],[39,98,282,11,721],[29,96,287,11,731],[19,93,282,11,742],[9,91,283,10,752],[0,89,282,11,761],[-10,87,282,11,771],[-20,85,282,11,781],[-30,83,282,11,792],[-40,81,283,10,802],[-49,79,282,11,811],[-59,77,282,11,821],[-69,75,282,11,831],]"
166,"[[267,-63,135,10,0],[274,-56,135,10,10],[281,-49,135,10,20],[288,-42,139,11,30],[295,-34,132,11,41],[303,-27,135,10,51],[310,-20,131,10,61],[317,-14,135,10,71],[324,-7,135,10,80],[331,0,132,11,90],[339,7,135,10,101],[346,14,132,11,111],[354,21,131,10,122],[361,27,132,11,131],[369,34,135,10,141],[376,41,127,10,151],[384,47,131,10,161],[391,53,132,11,171],[399,60,127,10,181],[407,66,132,11,191],[415,73,131,10,202],[422,79,127,10,211],[430,85,127,10,221],[438,91,127,10,231],[446,97,127,10,241],[454,103,127,10,251],[462,109,120,11,261],[471,114,127,10,271],[479,120,123,10,281],[487,125,124,11,291],[496,131,123,10,302],[504,136,120,11,311],[513,141,123,10,321],[521,146,120,11,331],[530,151,120,11,341],[539,156,120,11,351],[548,161,114,10,362],[557,165,120,11,371],[566,170,114,10,382],[575,174,114,10,392],[584,178,114,10,401],[593,182,114,10,411],[602,186,107,11,421],[612,189,114,10,432],[621,193,109,10,441],[630,196,107,11,451],[640,199,107,11,461],[650,202,103,10,472],[659,204,107,11,481],[669,207,102,11,491],[679,209,102,11,502],[689,211,103,10,512],[698,213,96,11,521],[708,214,102,11,531],[718,216,96,11,541],[728,217,96,11,551],[738,218,90,10,561],[748,218,96,11,571],[758,219,90,10,581],[768,219,90,10,591],[778,219,90,10,601],[788,219,84,11,611],[798,218,90,10,622],[808,218,84,11,632],[818,217,84,11,642],[828,216,84,11,652],[838,215,84,11,662],[848,214,78,11,672],[858,212,84,11,682],[868,211,78,11,692],[878,209,77,10,702],[887,207,78,11,711],[897,205,78,11,722],[907,203,73,11,732],[917,200,77,10,742],[926,198,73,11,751],[936,195,73,11,762],[946,192,77,10,772],[955,190,73,11,782],[965,187,71,10,792],[974,184,73,11,801],[984,181,66,10,812],[993,177,73,11,822],[1003,174,71,10,832],[1012,171,73,11,842],[1022,168,66,10,852],[1031,164,66,10,862],[1040,160,73,11,872],[1050,157,66,10,882],[1059,153,71,10,892],[1068,150,68,11,902],[1078,146,66,10,912],[1087,142,66,10,922],[1096,138,66,10,932],[1105,134,66,10,942],[1114,130,68,11,952],[1124,126,66,10,963],[1133,122,66,10,972],[1142,118,66,10,982],[1151,114,66,10,992],[1160,110,66,10,1002],[1169,106,66,10,1012],[1178,102,63,12,1022],[1188,97,66,10,1033],[1197,93,66,10,1043],[1206,89,66,10,1052],[1215,85,66,10,1062],[1224,81,60,11,1072],[1233,76,66,10,1082],[1242,72,66,10,1092],]"
167,"[[500,-67,127,10,0],[508,-61,135,10,10],[515,-54,127,10,20],[523,-48,135,10,30],[530,-41,127,10,40],[538,-35,132,11,50],[546,-28,131,10,61],[553,-22,132,11,70],[561,-15,131,10,81],[568,-9,132,11,90],[576,-2,127,10,101],[584,4,127,10,111],[592,10,135,10,121],[599,17,127,10,131],[607,23,127,10,141],[615,29,132,11,151],[623,36,127,10,161],[631,42,127,10,171],[639,48,131,10,181],[646,54,127,10,190],[654,60,127,10,200],[662,66,127,10,210],[670,72,124,11,220],[679,78,127,10,231],[687,84,127,10,241],[695,90,123,10,251],[703,95,127,10,261],[711,101,124,11,271],[720,107,123,10,281],[728,112,127,10,291],[736,118,120,11,301],[745,123,123,10,311],[753,128,120,11,321],[762,133,127,10,331],[770,139,120,11,341],[779,144,114,10,351],[788,148,120,11,361],[797,153,123,10,371],[805,158,114,10,381],[814,162,120,11,391],[823,167,114,10,401],[832,171,112,11,411],[842,175,114,10,422],[851,179,114,10,431],[860,183,109,10,441],[869,186,112,11,451],[879,190,109,10,461],[888,193,107,11,471],[898,196,109,10,481],[907,199,102,11,491],[917,201,107,11,501],[927,204,103,10,512],[936,206,102,11,521],[946,208,102,11,531],[956,210,96,11,541],[966,211,96,11,551],[976,212,96,11,561],[986,213,96,11,571],[996,214,96,11,581],[1006,215,90,10,591],[1016,215,90,10,601],[1026,215,90,10,611],[1036,215,90,10,621],[1046,215,84,11,631],[1056,214,84,11,641],[1066,213,84,11,652],[1076,212,84,11,662],[1086,211,78,11,672],[1096,209,83,10,682],[1105,208,78,11,691],[1115,206,78,11,701],[1125,204,78,11,711],[1135,202,78,11,721],[1145,200,71,10,732],[1154,197,73,11,741],[1164,194,78,11,752],[1174,192,71,10,762],[1183,189,73,11,771],[1193,186,71,10,782],[1202,183,73,11,791],[1212,180,66,10,802],[1221,176,73,11,811],[1231,173,66,10,822],[1240,169,71,10,832],[1249,166,71,10,841],]"
168,"[[605,-67,148,10,0],[610,-59,147,11,10],[616,-50,148,10,21],[621,-42,144,10,30],[627,-34,144,10,40],[633,-26,144,10,50],[639,-18,144,10,60],[645,-10,144,10,70],[651,-2,144,10,80],[657,6,139,11,90],[664,14,140,10,101],[670,21,144,10,110],[676,29,139,11,120],[683,37,135,10,131],[690,44,140,10,141],[696,51,139,11,150],[703,59,135,10,160],[710,66,135,10,170],[717,73,132,11,180],[725,80,135,10,191],[732,87,131,10,201],[739,93,132,11,210],[747,100,127,10,221],[755,106,135,10,231],[762,113,127,10,240],[770,119,127,10,250],[778,125,123,10,260],[786,130,124,11,270],[795,136,127,10,281],[803,142,120,11,291],[812,147,123,10,301],[820,152,120,11,310],[829,157,120,11,321],[838,162,117,9,331],[846,166,120,11,340],[855,171,114,10,350],[864,175,112,11,360],[874,179,114,10,371],[883,183,114,10,381],[892,187,107,11,391],[902,190,114,10,401],[911,194,109,10,411],[920,197,107,11,420],[930,200,107,11,431],[940,203,109,10,441],[949,206,102,11,451],[959,208,109,10,461],[968,211,102,11,470],[978,213,102,11,481],[988,215,102,11,491],[998,217,102,11,501],[1008,219,103,10,511],[1017,221,102,11,520],[1027,223,102,11,531],[1037,225,96,11,541],[1047,226,102,11,551],[1057,228,96,11,561],[1067,229,96,11,571],[1077,230,102,11,581],[1087,232,96,11,591],[1097,233,97,10,601],[1106,234,96,11,611],[1116,235,96,11,621],[1126,236,96,11,631],[1136,237,96,11,641],[1146,238,96,11,651],[1156,239,96,11,661],[1166,240,96,11,671],[1176,241,96,11,681],[1186,242,96,11,691],[1196,243,96,11,701],[1206,244,96,11,711],[1216,245,96,11,721],[1226,246,90,10,731],[1236,246,96,11,741],[1246,247,96,11,751],]"
169,"[[771,-62,162,10,0],[774,-53,157,10,10],[778,-44,159,11,20],[782,-34,157,10,31],[786,-25,157,10,40],[790,-16,157,10,50],[794,-7,159,11,60],[798,3,157,10,71],[802,12,157,10,81],[806,21,157,10,91],[810,30,157,10,100],[814,39,157,10,110],[818,48,157,10,120],[822,57,157,10,130],[826,66,151,11,140],[831,75,157,10,150],[835,84,151,11,160],[840,93,157,10,170],[844,102,151,11,180],[849,111,151,11,190],[854,120,157,10,201],[858,129,148,10,211],[863,137,151,11,220],[868,146,147,11,230],[874,155,148,10,241],[879,163,151,11,251],[884,172,144,10,261],[890,180,148,10,271],[895,188,144,10,280],[901,196,147,11,290],[907,205,144,10,301],[913,213,140,10,311],[919,220,139,11,320],[926,228,144,10,331],[932,236,135,10,341],[939,243,135,10,351],[946,250,135,10,361],[953,257,135,10,371],[960,264,127,10,381],[968,270,132,11,391],[976,277,127,10,401],[984,283,123,10,411],[992,288,127,10,421],[1000,294,120,11,431],[1009,299,120,11,441],[1018,304,114,10,451],[1027,308,114,10,461],[1036,312,114,10,471],[1045,316,114,10,481],[1054,320,107,11,491],[1064,323,109,10,501],[1073,326,107,11,511],[1083,329,107,11,521],[1093,332,103,10,531],[1102,334,102,11,541],[1112,336,102,11,551],[1122,338,102,11,561],[1132,340,96,11,571],[1142,341,102,11,581],[1152,343,97,10,591],[1161,344,96,11,601],[1171,345,96,11,611],[1181,346,96,11,621],[1191,347,90,10,631],[1201,347,96,11,641],[1211,348,90,10,651],[1221,348,96,11,661],[1231,349,90,10,671],[1241,349,90,10,681],]"
170,"[[911,-60,175,11,0],[912,-50,175,11,11],[913,-40,175,11,21],[914,-30,180,10,31],[914,-20,175,11,41],[915,-10,175,11,51],[916,0,175,11,61],[917,10,175,11,71],[918,20,180,10,81],[918,30,175,11,91],[919,40,175,11,101],[920,50,175,11,111],[921,60,175,11,121],[922,70,175,11,131],[923,80,175,11,141],[924,90,175,11,151],[925,100,175,11,161],[926,110,169,11,171],[928,120,175,11,181],[929,130,175,11,191],[930,140,175,11,202],[931,150,168,10,212],[933,159,175,11,221],[934,169,169,11,231],[936,179,169,11,241],[938,189,169,11,251],[940,199,169,11,261],[942,209,168,10,272],[944,218,169,11,281],[946,228,169,11,291],[948,238,164,11,301],[951,248,168,10,312],[953,257,164,11,321],[956,267,157,10,331],[960,276,164,11,341],[963,286,157,10,352],[967,295,157,10,362],[971,304,151,11,371],[976,313,148,10,382],[981,321,151,11,391],[986,330,139,11,401],[993,338,140,10,412],[999,345,135,10,421],[1006,352,132,11,431],[1014,359,127,10,442],[1022,365,123,10,452],[1030,370,120,11,461],[1039,375,120,11,471],[1048,380,114,10,482],[1057,384,109,10,492],[1066,387,112,11,501],[1076,391,109,10,512],[1085,394,107,11,521],[1095,397,109,10,532],[1104,400,102,11,541],[1114,402,107,11,552],[1124,405,103,10,562],[1133,407,107,11,571],[1143,410,102,11,582],[1153,412,109,10,592],[1162,415,102,11,601],[1172,417,107,11,611],[1182,420,102,11,622],[1192,422,109,10,632],[1201,425,102,11,642],[1211,427,109,10,652],[1220,430,107,11,661],[1230,433,107,11,672],[1240,436,109,10,682],[1249,439,109,10,692],]"
171,"[[-64,122,144,10,0],[-58,130,135,10,10],[-51,137,144,10,20],[-45,145,151,11,30],[-40,154,144,10,41],[-34,162,148,10,51],[-29,170,147,11,60],[-23,179,148,10,71],[-18,187,157,10,80],[-14,196,151,11,90],[-9,205,151,11,101],[-4,214,157,10,111],[0,223,157,10,121],[4,232,157,10,131],[8,241,159,11,140],[12,251,157,10,151],[16,260,162,10,161],[19,269,159,11,170],[23,279,162,10,181],[26,288,162,10,191],[29,297,164,11,200],[32,307,164,11,211],[35,317,162,10,221],[38,326,164,11,231],[41,336,168,10,241],[43,345,164,11,250],[46,355,169,11,261],[48,365,164,11,271],[51,375,168,10,281],[53,384,169,11,291],[55,394,169,11,301],[57,404,169,11,311],[59,414,168,10,321],[61,423,169,11,330],[63,433,169,11,341],[65,443,175,11,351],[66,453,169,11,361],[68,463,169,11,371],[70,473,175,11,381],[71,483,169,11,391],[73,493,174,10,401],[74,502,175,11,411],[75,512,169,11,421],[77,522,175,11,431],[78,532,175,11,441],[79,542,175,11,451],[80,552,169,11,461],[82,562,175,11,471],[83,572,175,11,481],[84,582,175,11,491],[85,592,175,11,501],[86,602,175,11,511],[87,612,175,11,521],[88,622,175,11,531],[89,632,175,11,541],[90,642,180,10,551],[90,652,175,11,561],[91,662,175,11,572],[92,672,175,11,582],[93,682,175,11,592],]"
172,"[[-69,130,90,10,0],[-59,130,96,11,10],[-49,131,90,10,21],[-39,131,96,11,31],[-29,132,90,10,41],[-19,132,97,10,51],[-10,133,96,11,60],[0,134,102,11,70],[10,136,96,11,80],[20,137,102,11,90],[30,139,107,11,100],[40,142,103,10,111],[49,144,107,11,120],[59,147,114,10,130],[68,151,114,10,140],[77,155,120,11,150],[86,160,120,11,160],[95,165,127,10,171],[103,171,127,10,181],[111,177,131,10,191],[118,183,132,11,200],[126,190,144,10,210],[132,198,135,10,220],[139,205,144,10,230],[145,213,147,11,240],[151,222,148,10,251],[156,230,151,11,261],[161,239,148,10,271],[166,247,151,11,280],[171,256,157,10,291],[175,265,157,10,300],[179,274,157,10,310],[183,283,159,11,320],[187,293,157,10,331],[191,302,157,10,341],[195,311,164,11,351],[198,321,162,10,361],[201,330,162,10,371],[204,339,159,11,380],[208,349,164,11,391],[211,359,168,10,401],[213,368,164,11,410],[216,378,162,10,421],[219,387,164,11,430],[222,397,169,11,441],[224,407,162,10,451],[227,416,169,11,460],[229,426,164,11,471],[232,436,168,10,481],[234,445,164,11,490],[237,455,169,11,501],[239,465,169,11,511],[241,475,168,10,521],[243,484,169,11,530],[245,494,164,11,541],[248,504,169,11,551],[250,514,169,11,561],[252,524,168,10,571],[254,533,169,11,581],[256,543,169,11,591],[258,553,169,11,601],[260,563,169,11,611],[262,573,168,10,621],[264,582,169,11,631],[266,592,175,11,641],[267,602,169,11,651],[269,612,169,11,661],[271,622,169,11,671],[273,632,168,10,681],[275,641,169,11,691],[277,651,175,11,701],[278,661,169,11,711],[280,671,169,11,721],[282,681,169,11,731],]"
173,"[[-69,335,107,11,0],[-59,338,109,10,11],[-50,341,107,11,20],[-40,344,109,10,31],[-31,347,107,11,40],[-21,350,107,11,51],[-11,353,109,10,61],[-2,356,107,11,71],[8,359,103,10,81],[17,361,107,11,90],[27,364,107,11,101],[37,367,109,10,111],[46,370,102,11,121],[56,372,107,11,131],[66,375,109,10,141],[75,378,107,11,151],[85,381,109,10,161],[94,384,107,11,171],[104,387,109,10,181],[113,390,107,11,191],[123,393,109,10,201],[132,396,107,11,211],[142,399,114,10,221],[151,403,114,10,231],[160,407,107,11,241],[170,410,114,10,251],[179,414,114,10,261],[188,418,120,11,271],[197,423,114,10,281],[206,427,120,11,291],[215,432,120,11,301],[224,437,123,10,312],[232,442,120,11,321],[241,447,123,10,331],[249,452,124,11,341],[258,458,123,10,352],[266,463,127,10,361],[274,469,127,10,371],[282,475,132,11,381],[290,482,131,10,392],[297,488,132,11,401],[305,495,131,10,412],[312,501,132,11,421],[320,508,135,10,431],[327,515,135,10,441],[334,522,139,11,451],[341,530,140,10,462],[347,537,135,10,471],[354,544,144,10,481],[360,552,139,11,491],[367,560,144,10,502],[373,568,144,10,512],[379,576,144,10,522],[385,584,144,10,532],[391,592,144,10,542],[397,600,148,10,552],[402,608,144,10,561],[408,616,151,11,571],[413,625,144,10,581],[419,633,151,11,591],[424,642,148,10,602],[429,650,151,11,611],[434,659,151,11,621],[439,668,148,10,632],[444,676,151,11,641],[449,685,151,11,651],]"
174,"[[-60,370,90,10,0],[-50,370,84,11,10],[-40,369,84,11,21],[-30,368,78,11,31],[-20,366,84,11,41],[-10,365,84,11,51],[0,364,78,11,61],[10,362,84,11,71],[20,361,84,11,81],[30,360,78,11,91],[40,358,84,11,101],[50,357,77,10,111],[59,355,78,11,121],[69,353,84,11,131],[79,352,78,11,141],[89,350,78,11,151],[99,348,78,11,161],[109,346,84,11,172],[119,345,77,10,182],[128,343,78,11,191],[138,341,84,11,201],[148,340,78,11,211],[158,338,78,11,221],[168,336,84,11,231],[178,335,78,11,241],[188,333,84,11,252],[198,332,84,11,262],[208,331,83,10,272],[217,330,84,11,281],[227,329,84,11,291],[237,328,84,11,301],[247,327,90,10,311],[257,327,90,10,321],[267,327,90,10,331],[277,327,90,10,341],[287,327,96,11,351],[297,328,90,10,361],[307,328,102,11,371],[317,330,96,11,381],[327,331,102,11,391],[337,333,107,11,401],[347,336,103,10,412],[356,338,112,11,421],[366,342,109,10,432],[375,345,114,10,441],[384,349,114,10,451],[393,353,120,11,461],[402,358,120,11,471],[411,363,120,11,482],[420,368,123,10,492],[428,373,127,10,501],[436,379,127,10,511],[444,385,132,11,521],[452,392,131,10,532],[459,398,132,11,541],[467,405,135,10,552],[474,412,135,10,562],[481,419,135,10,572],[488,426,135,10,582],[495,433,144,10,591],[501,441,135,10,601],[508,448,144,10,611],[514,456,139,11,621],[521,464,144,10,632],[527,472,144,10,642],[533,480,144,10,652],[539,488,148,10,662],[544,496,144,10,671],[550,504,147,11,681],[556,513,148,10,692],[561,521,144,10,702],[567,529,151,11,712],[572,538,148,10,722],[577,546,151,11,731],[582,555,151,11,742],[587,564,148,10,752],[592,572,151,11,761],[597,581,151,11,772],[602,590,148,10,782],[607,598,151,11,791],[612,607,151,11,802],[617,616,151,11,812],[622,625,157,10,822],[626,634,151,11,832],[631,643,157,10,843],[635,652,148,10,852],[640,660,157,10,862],[644,669,151,11,872],[649,678,157,10,882],[653,687,157,10,892],]"
175,"[[-69,487,84,11,0],[-59,486,90,10,11],[-49,486,90,10,21],[-39,486,84,11,31],[-29,485,90,10,41],[-19,485,84,11,51],[-9,484,90,10,61],[1,484,90,10,71],[11,484,84,11,81],[21,483,90,10,91],[31,483,84,11,101],[41,482,90,10,111],[51,482,90,10,121],[61,482,84,11,131],[71,481,90,10,141],[81,481,90,10,151],[91,481,84,11,161],[101,480,90,10,171],[111,480,84,11,181],[121,479,90,10,191],[131,479,90,10,201],[141,479,84,11,211],[151,478,90,10,221],[161,478,90,10,231],[171,478,90,10,241],[181,478,84,11,251],[191,477,90,10,261],[201,477,90,10,271],[211,477,90,10,281],[221,477,90,10,291],[231,477,90,10,301],[241,477,90,10,311],[251,477,84,11,321],[261,476,90,10,331],[271,476,96,11,341],[281,477,90,10,351],[291,477,90,10,361],[301,477,90,10,371],[311,477,90,10,381],[321,477,90,10,391],[331,477,96,11,401],[341,478,90,10,411],[351,478,96,11,421],[361,479,90,10,431],[371,479,96,11,441],[381,480,90,10,451],[391,480,96,11,461],[401,481,96,11,471],[411,482,96,11,481],[421,483,96,11,491],[431,484,97,10,501],[440,485,96,11,511],[450,486,102,11,521],[460,488,96,11,531],[470,489,96,11,541],[480,490,102,11,551],[490,492,102,11,561],[500,494,102,11,571],[510,496,103,10,581],[519,498,102,11,591],[529,500,102,11,601],[539,502,107,11,611],[549,505,103,10,622],[558,507,107,11,631],[568,510,107,11,641],[578,513,109,10,652],[587,516,107,11,661],[597,519,109,10,672],[606,522,114,10,681],[615,526,112,11,691],[625,530,114,10,702],[634,534,114,10,711],[643,538,114,10,721],[652,542,114,10,731],[661,546,120,11,741],[670,551,120,11,751],[679,556,123,10,762],[687,561,120,11,771],[696,566,123,10,781],[704,571,124,11,791],[713,577,123,10,802],[721,582,127,10,811],[729,588,127,10,821],[737,594,127,10,831],[745,600,132,11,841],[753,607,131,10,852],[760,613,132,11,861],[768,620,131,10,872],[775,626,132,11,881],[783,633,135,10,891],[790,640,135,10,901],[797,647,139,11,911],[804,655,140,10,922],[810,662,139,11,931],[817,670,140,10,942],[823,677,139,11,951],[830,685,139,11,961],]"
176,"[[-65,111,114,10,0],[-56,115,120,11,10],[-47,120,114,10,21],[-38,124,114,10,30],[-29,128,120,11,40],[-20,133,114,10,51],[-11,137,114,10,60],[-2,141,114,10,70],[7,145,117,12,80],[17,150,114,10,91],[26,154,114,10,101],[35,158,114,10,111],[44,162,114,10,121],[53,166,107,11,131],[63,169,114,10,141],[72,173,114,10,151],[81,177,114,10,161],[90,181,107,11,171],[100,184,114,10,181],[109,188,109,10,191],[118,191,112,11,201],[128,195,109,10,211],[137,198,107,11,221],[147,201,114,10,231],[156,205,107,11,241],[166,208,109,10,252],[175,211,107,11,261],[185,214,103,10,271],[194,216,107,11,281],[204,219,107,11,291],[214,222,103,10,302],[223,224,107,11,311],[233,227,102,11,321],[243,229,102,11,331],[253,231,103,10,342],[262,233,102,11,351],[272,235,102,11,361],[282,237,96,11,371],[292,238,102,11,381],[302,240,96,11,391],[312,241,96,11,402],[322,242,96,11,412],[332,243,96,11,422],[342,244,96,11,432],[352,245,90,10,442],[362,245,90,10,452],[372,245,90,10,462],[382,245,90,10,472],[392,245,84,11,482],[402,244,90,10,492],[412,244,84,11,502],[422,243,78,11,512],[432,241,83,10,522],[441,240,78,11,531],[451,238,78,11,541],[461,236,78,11,551],[471,234,71,10,562],[480,231,73,11,571],[490,228,71,10,582],[499,225,68,11,591],[509,221,71,10,602],[518,218,66,10,611],[527,214,60,11,621],[536,209,66,10,631],[545,205,60,11,641],[554,200,60,11,652],[563,195,57,10,662],[571,190,56,11,671],[580,184,57,10,682],[588,179,53,10,692],[596,173,53,10,702],[604,167,48,11,712],[612,160,49,10,722],[619,154,48,11,731],[627,147,45,10,742],[634,140,49,10,752],[641,134,48,11,761],[649,127,41,11,772],[656,119,40,10,782],[662,112,45,10,792],[669,105,41,11,802],[676,97,40,10,812],[682,90,41,11,821],[689,82,36,10,832],[695,74,36,10,842],[701,66,36,10,852],[707,58,45,10,862],[714,51,36,10,872],[720,43,29,11,882],[725,34,36,10,892],[731,26,36,10,902],[737,18,36,10,912],[743,10,32,10,922],[748,2,33,11,932],[754,-7,32,10,942],[759,-15,36,10,952],[765,-23,29,11,962],[770,-32,36,10,972],[776,-40,29,11,982],[781,-49,32,10,993],[786,-57,33,11,1002],[792,-66,33,11,1013],]"
